,dataset_name,category,label,cnt,mx,ag
230,brightening_50,object,court,1,0.052607488474977517,0.052607488474977517
231,brightening_50,object,curtain,1,0.05735756413601671,0.05735756413601671
232,brightening_50,object,dog,3,0.2155119816361704,0.1018284102100749
233,brightening_50,object,earth,1,0.03539072436702438,0.03539072436702438
234,brightening_50,object,fireplace,1,0.043049630923106916,0.043049630923106916
235,brightening_50,object,flower,1,0.07877094706884757,0.07877094706884757
236,brightening_50,object,grass,6,0.10735689607397304,0.06440369344361295
237,brightening_50,object,horse,6,0.1482241694109088,0.10654335408226429
238,brightening_50,object,house,10,0.15837110847965793,0.06692193984119596
239,brightening_50,object,motorbike,3,0.06478792532851012,0.06308562789165835
240,brightening_50,object,mountain,3,0.09103731247595846,0.07564485619745505
241,brightening_50,object,person,4,0.06930360909850662,0.04508760546358834
